asv id,latitude,longitude,name,desc,color,source,precision
1,46.173856,6.021339,"Cartigny, Switzerland","Cartigny, GENÈVE, CH",,MapQuest,city/town
2,46.201756,6.146601,"Genf, Switzerland","Geneva, GENÈVE, CH",,MapQuest,city/town
3,46.232841,6.081779,"Meyrin, Switzerland","Meyrin, GENÈVE, CH",,MapQuest,city/town
4,46.264418,6.157064,"Genthod, Switzerland","Genthod, GENÈVE, CH",,MapQuest,city/town
5,46.236763,6.269155,"Jussy, Switzerland","Jussy, GENÈVE, CH",,MapQuest,city/town
6,46.316338,6.192951,"Coppet, Switzerland","Coppet, VAUD, CH",,MapQuest,city/town
7,47.595602,8.783005,"Nyon-Prangins, Switzerland","Neunforn, THURGAU, CH",,MapQuest,city/town
8,46.446839,6.157778,"St. Cergue, Switzerland","Saint-Cergue, VAUD, CH",,MapQuest,city/town
9,46.459061,6.341098,"Rolle, Switzerland","Rolle, VAUD, CH",,MapQuest,city/town
10,46.509327,6.498317,"Morges, Switzerland","Morges, VAUD, CH",,MapQuest,city/town
11,46.521827,6.632703,"Lausanne, Switzerland","Lausanne, VAUD, CH",,MapQuest,city/town
12,46.503277,6.686788,"Lutry, Switzerland","Lutry, VAUD, CH",,MapQuest,city/town
13,46.463078,6.84289,"Vevey, Switzerland","Vevey, VAUD, CH",,MapQuest,city/town
14,46.406472,6.971561,"Villeneuve, Switzerland","Villeneuve, VAUD, CH",,MapQuest,city/town
15,46.317901,6.968893,"Aigle, Switzerland","Aigle, VAUD, CH",,MapQuest,city/town
16,46.29897,7.05646,"Villars s. Ollon, Switzerland","Sentier du Victoria, Ollon, Vaud, CH",,MapQuest,street
17,46.247375,7.010776,"Bex, Switzerland","Bex, VAUD, CH",,MapQuest,city/town
18,46.255457,6.953783,"Monthey, Switzerland","Monthey, VALAIS - WALLIS, CH",,MapQuest,city/town
19,46.175679,6.868767,"Champéry, Switzerland","Champéry, VALAIS - WALLIS, CH",,MapQuest,city/town
20,46.083415,6.975772,"Finhaut, Switzerland","Finhaut, VALAIS - WALLIS, CH",,MapQuest,city/town
21,46.103115,7.072735,"Martigny, Switzerland","Martigny, VALAIS - WALLIS, CH",,MapQuest,city/town
22,46.030068,7.145363,"Orsières, Switzerland","Orsières, VALAIS - WALLIS, CH",,MapQuest,city/town
23,46.075744,7.075126,"Le Châble, Switzerland","Les Valettes, VALAIS - WALLIS, CH",,MapQuest,city/town
24,46.11273,7.495707,"Evolène, Switzerland","Evolène, VALAIS - WALLIS, CH",,MapQuest,city/town
25,46.024452,8.932552,"Vissoie, Switzerland","Vezia, TICINO, CH",,MapQuest,city/town
26,46.292252,7.53232,"Sierre, Switzerland","Sierre, VALAIS - WALLIS, CH",,MapQuest,city/town
27,46.346379,7.537519,"Mollens, Switzerland","Mollens, CH",,MapQuest,city/town
28,46.231175,7.35888,"Sitten, Switzerland","Sion, VALAIS - WALLIS, CH",,MapQuest,city/town
29,46.212346,7.259116,"Ardon, Switzerland","Ardon, VALAIS - WALLIS, CH",,MapQuest,city/town
30,46.34906,7.05266,"Ormont-La Forclaz, Switzerland","Route de la Forclaz, Ormont-Dessous, Vaud, CH",,MapQuest,street
31,46.473958,7.13056,"Château-d'Oex, Switzerland","Château-d'Œx, VAUD, CH",,MapQuest,city/town
32,46.487127,7.042571,"Montbovon, Switzerland","Montbovon, FRIBOURG, CH",,MapQuest,city/town
33,46.45513,6.89805,"Brent s. Montreux, Switzerland","Route de Brent, Montreux, Vaud, CH",,MapQuest,street
34,46.526529,6.899654,"Châtel-St-Denis, Switzerland","Châtel-Saint-Denis, FRIBOURG, CH",,MapQuest,city/town
35,46.570924,6.827467,"Oron-la-Ville, Switzerland","Oron-La-Ville, VAUD, CH",,MapQuest,city/town
36,46.587613,6.764993,"Mézières, Switzerland","Mézières, VAUD, CH",,MapQuest,city/town
37,46.548288,6.393457,"Froideville, Switzerland","Froideville, VAUD, CH",,MapQuest,city/town
38,46.50881,6.30707,"Gimel, Switzerland","Gimel, VAUD, CH",,MapQuest,city/town
39,46.604664,6.23377,"Le Sentier, Switzerland","Le Chenit, VAUD, CH",,MapQuest,city/town
40,46.619407,6.411548,"L'Isle, Switzerland","L'Isle, VAUD, CH",,MapQuest,city/town
41,46.61695,6.47243,"Cossonay-La Chaux, Switzerland","La Place, La Chaux (Cossonay), Vaud, CH",,MapQuest,street
42,46.638116,6.634695,"Echallens, Switzerland","Echallens, VAUD, CH",,MapQuest,city/town
43,46.619839,6.821521,"Rue, Switzerland","Rue, FRIBOURG, CH",,MapQuest,city/town
